,url,start,end,subtitle
14292,https://www.youtube.com/watch?v=4vf71p7VnB8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=57,"00:00:27,068","00:00:29,978",(박수)
14411,https://www.youtube.com/watch?v=4vf71p7VnB8&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=57,"00:06:05,031","00:06:07,017",박수 칠 준비를 딱 하고 있는 거에요
14597,https://www.youtube.com/watch?v=W1FP7TVg7ew&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=104,"00:00:03,990","00:00:10,785",(박수)
14907,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:08,200","00:00:14,548",(박수 및 환호)
14909,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:24,949","00:00:28,947",(박수)
14912,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:00:34,273","00:00:37,733",(박수)
14955,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:02:30,789","00:02:34,369",선생님이 애들을 기립을 시켜서 기립박수를 치게 하는 거예요
14992,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:04:10,787","00:04:18,084",(웃음 및 박수)
14997,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:04:31,600","00:04:34,803",(박수 및 환호)
14999,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:04:39,730","00:04:52,527",(간주 및 박수)
15030,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:32,616","00:07:39,220",(박수 및 환호)
15032,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:07:40,143","00:07:45,687",(박수 및 환호)
15112,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:11:46,216","00:11:48,136",그 초등학교 2학년 때  기립박수와
15171,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:14:45,447","00:14:48,498",(박수)
15197,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:18:48,773","00:19:18,947",(박수 및 환호)
15200,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:19:28,187","00:19:32,270",(박수 및 환호)
15202,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:19:34,700","00:19:40,967",(박수 및 환호)
15212,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:20:12,135","00:20:16,919",(박수 및 환호)
15234,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:22:45,019","00:22:47,845",워 ~ 예 (박수 및 환호)
15262,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:25:07,637","00:25:19,531",워 ~ 어 (박수 및 환호)
15265,https://www.youtube.com/watch?v=CxFecE30_Q4&index=59&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5,"00:25:30,640","00:25:33,527",(박수 및 환호)
15266,https://www.youtube.com/watch?v=EAWMAgjyJvc&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=60,"00:00:06,194","00:00:10,541",(박수)
15567,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:00:04,252","00:00:10,758",(박수와 환호)
15570,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:00:18,871","00:00:23,741",(박수와 환호)
15633,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:03:55,023","00:04:02,493",(박수와 환호)
15654,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:05:24,276","00:05:28,416",네 감사합니다 (박수)
15744,https://www.youtube.com/watch?v=CkPESgYjL6U&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=61,"00:10:36,744","00:10:42,534",(박수)
